exchange,market,time,kind,gate,split,entry,gross_180,gross_300,gross_460,gross_600,gross_900,gross_1200,gross_1800,mfe600,mae600
binance,MUBARAKUSDT,2026-08-19T11:40:29.271000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.01921,-0.7287870900572702,-0.8328995314940135,-0.8328995314940135,-0.7287870900572702,-0.7287870900572702,-0.6767308693388929,-3.019260801665802,0.3643935450286184,-1.145236855804277
binance,ESPUSDT,2026-08-19T11:40:29.271000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.07816,-0.6397134083930278,-0.140736949846465,0.12794268167861667,0.12794268167861667,-0.2558853633572,-0.24309109518935168,-0.2558853633572,0.23029682702151444,-0.9467758444216878
binance,SIGNUSDT,2026-08-19T11:41:08.725000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.00727,-0.27510316368638543,-1.6506189821183015,-0.4126547455295837,0.0,-1.375515818431916,-2.2008253094910613,-3.5763411279229773,0.5502063273727487,-2.063273727647874
binance,HEIUSDT,2026-08-19T11:41:44.825000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.1437,-0.8350730688935326,-0.974251913709101,-0.20876826722338038,-0.7654836464857318,-1.1830201809325036,0.41753653444678296,2.713987473903967,0.3479471120389599,-1.2526096033402934
binance,ESPUSDT,2026-08-19T11:41:44.825000+00:00,SINGLE_GATE_FAIL,buy_pressure_not_confirmed,train,0.07809,-0.17928031758227547,0.02561147394031238,0.24330900243307862,0.03841721091046857,-0.16647458061211928,-0.10244589576131613,-0.49942374183634675,0.32014342425406017,-0.8579843770008977
binance,HEIUSDT,2026-08-19T11:43:32.385000+00:00,SINGLE_GATE_FAIL,buy_pressure_not_confirmed,train,0.1436,-0.9052924791086325,-0.6267409470752217,-0.696378830083566,-0.8356545961002881,-1.0445682451253546,2.2980501392757535,0.7660167130919104,0.0,-1.1838440111420656
binance,MUBARAKUSDT,2026-08-19T11:43:32.385000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.01915,-0.5221932114882422,-0.5221932114882422,-0.15665796344647154,-1.0443864229764954,-0.6266318537859084,-2.4020887728459672,-1.5665796344647598,0.05221932114882755,-0.8355091383812074
binance,SIGNUSDT,2026-08-19T11:44:43.942000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.00727,-1.375515818431916,-0.27510316368638543,-0.27510316368638543,-0.13755158184319827,-1.7881705639614998,-2.063273727647874,-3.98899587345255,0.5502063273727487,-2.063273727647874
binance,ZROUSDT,2026-08-19T11:44:43.942000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.847,0.0,-0.23612750885477762,-0.8264462809917328,-1.1806375442739103,-1.8890200708382543,-2.125147579693032,-1.6528925619834767,0.11806375442739991,-1.416765053128688
binance,EULUSDT,2026-08-19T11:45:29.247000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,1.252,-0.07987220447285281,-0.15974440894568342,0.07987220447283061,-0.07987220447285281,0.4792332268370503,0.23961661341851404,0.07987220447283061,0.07987220447283061,-0.31948881789137795
binance,ESPUSDT,2026-08-19T11:47:20.884000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.07811,0.1920368710792486,-0.21764178722315508,-0.1920368710792486,-0.3840737421584861,-0.17923441300730092,-0.7169376520291926,-0.2688516195109458,0.2944565356548523,-0.5761106132377347
binance,HEIUSDT,2026-08-19T11:49:06.874000+00:00,SINGLE_GATE_FAIL,m1_prebreakout_setup_not_ready,train,0.1426,-0.14025245441795509,-0.3506311360448766,-0.42075736325386526,0.8415147265077083,4.347826086956519,4.488078541374474,0.6311360448807646,0.5610098176717981,-0.6311360448807979
