split,cost_model,ratio,tail,total_n,latched_n,n,mean,median,win_rate,p05,p95,loss_mean,recovered_positive_share,hard_stop_share,late_exit_share
validation,empirical_exec,0.33,900,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
validation,empirical_exec,0.33,none,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
validation,empirical_exec,0.4,none,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
validation,empirical_exec,0.5,none,3,2,2,-0.9941329517653714,-0.9941329517653714,0.0,-1.1174560417022323,-0.8708098618285105,-0.9941329517653714,0.0,0.0,1.0
validation,empirical_exec,0.67,none,3,2,2,-0.9186042508590082,-0.9186042508590082,0.0,-0.9739515099801422,-0.8632569917378742,-0.9186042508590082,0.0,0.0,1.0
validation,fee_only,0.2,none,3,2,2,-0.5880830572980774,-0.5880830572980774,0.5,-1.1445182755183205,-0.03164783907783443,-1.2063444108761252,0.5,0.0,0.5
validation,fee_only,0.25,none,3,2,2,-0.5880830572980774,-0.5880830572980774,0.5,-1.1445182755183205,-0.03164783907783443,-1.2063444108761252,0.5,0.0,0.5
validation,fee_only,0.33,1200,3,2,2,-0.5880830572980774,-0.5880830572980774,0.5,-1.1445182755183205,-0.03164783907783443,-1.2063444108761252,0.5,0.0,0.5
validation,fee_only,0.33,1800,3,2,2,-0.5880830572980774,-0.5880830572980774,0.5,-1.1445182755183205,-0.03164783907783443,-1.2063444108761252,0.5,0.0,0.5
validation,fee_only,0.33,600,3,2,2,-0.5880830572980774,-0.5880830572980774,0.5,-1.1445182755183205,-0.03164783907783443,-1.2063444108761252,0.5,0.0,0.5
