exchange,split,cost_model,arm_bps,effective_arm_bps,n,mean,median,win_rate,p05,p95,loss_mean,baseline_mean,delta_mean,arm_rate,stop_rate
binance,validation,fee_only,100,100.0,5,-0.17414229750767324,-0.3006036217303885,0.2,-0.3628095377453409,0.2626502278742993,-0.31744853555584746,-0.17414229750767324,0.0,0.2,0.0
binance_futures,train,empirical_exec,10,52.692899999999995,42,-0.26673457231690134,0.0,0.07142857142857142,-3.1502493962534506,0.35929006146492976,-2.7985639270614646,-0.485830445026426,0.21909587270952463,0.8333333333333334,0.7619047619047619
binance_futures,train,empirical_exec,15,52.692899999999995,42,-0.26673457231690134,0.0,0.07142857142857142,-3.1502493962534506,0.35929006146492976,-2.7985639270614646,-0.485830445026426,0.21909587270952463,0.8333333333333334,0.7619047619047619
binance_futures,train,empirical_exec,20,52.692899999999995,42,-0.26673457231690134,0.0,0.07142857142857142,-3.1502493962534506,0.35929006146492976,-2.7985639270614646,-0.485830445026426,0.21909587270952463,0.8333333333333334,0.7619047619047619
binance_futures,train,empirical_exec,25,52.692899999999995,42,-0.26673457231690134,0.0,0.07142857142857142,-3.1502493962534506,0.35929006146492976,-2.7985639270614646,-0.485830445026426,0.21909587270952463,0.8333333333333334,0.7619047619047619
binance_futures,train,empirical_exec,30,52.692899999999995,42,-0.26673457231690134,0.0,0.07142857142857142,-3.1502493962534506,0.35929006146492976,-2.7985639270614646,-0.485830445026426,0.21909587270952463,0.8333333333333334,0.7619047619047619
binance_futures,train,empirical_exec,40,52.692899999999995,42,-0.26673457231690134,0.0,0.07142857142857142,-3.1502493962534506,0.35929006146492976,-2.7985639270614646,-0.485830445026426,0.21909587270952463,0.8333333333333334,0.7619047619047619
binance_futures,train,empirical_exec,50,52.692899999999995,42,-0.26673457231690134,0.0,0.07142857142857142,-3.1502493962534506,0.35929006146492976,-2.7985639270614646,-0.485830445026426,0.21909587270952463,0.8333333333333334,0.7619047619047619
binance_futures,train,empirical_exec,60,60.0,42,-0.29056454960954275,0.0,0.09523809523809523,-3.1502493962534506,0.5123850685301311,-2.6387817466092454,-0.485830445026426,0.19526589541688322,0.8095238095238095,0.7142857142857143
binance_futures,train,empirical_exec,75,75.0,42,-0.33643860616093213,0.0,0.11904761904761904,-3.1502493962534506,0.9560185249517912,-2.1832691180597945,-0.485830445026426,0.14939183886549387,0.7380952380952381,0.6190476190476191
binance_futures,train,empirical_exec,100,100.0,42,-0.4600999118631824,0.0,0.11904761904761904,-3.1551654616660394,0.9560185249517912,-1.9473156758768169,-0.485830445026426,0.025730533163243606,0.6428571428571429,0.5238095238095238
binance_futures,train,fee_only,10,30.000000000000004,42,-0.3132443663702371,0.0,0.07142857142857142,-2.9233203962534504,0.5748726114649287,-2.8839716958858284,-0.2589014450264261,-0.05434292134381109,0.8571428571428571,0.7857142857142857
binance_futures,train,fee_only,15,30.000000000000004,42,-0.3132443663702371,0.0,0.07142857142857142,-2.9233203962534504,0.5748726114649287,-2.8839716958858284,-0.2589014450264261,-0.05434292134381109,0.8571428571428571,0.7857142857142857
binance_futures,train,fee_only,20,30.000000000000004,42,-0.3132443663702371,0.0,0.07142857142857142,-2.9233203962534504,0.5748726114649287,-2.8839716958858284,-0.2589014450264261,-0.05434292134381109,0.8571428571428571,0.7857142857142857
binance_futures,train,fee_only,25,30.000000000000004,42,-0.3132443663702371,0.0,0.07142857142857142,-2.9233203962534504,0.5748726114649287,-2.8839716958858284,-0.2589014450264261,-0.05434292134381109,0.8571428571428571,0.7857142857142857
binance_futures,train,fee_only,30,30.000000000000004,42,-0.3132443663702371,0.0,0.07142857142857142,-2.9233203962534504,0.5748726114649287,-2.8839716958858284,-0.2589014450264261,-0.05434292134381109,0.8571428571428571,0.7857142857142857
binance_futures,train,fee_only,40,40.0,42,-0.3132443663702371,0.0,0.07142857142857142,-2.9233203962534504,0.5748726114649287,-2.8839716958858284,-0.2589014450264261,-0.05434292134381109,0.8571428571428571,0.7857142857142857
