RANGE	V2_RANGE_CYCLE_S25_A22_T0.6	TEST	362	179	49.45	-3069.45	-6327.45	0.7306	-8.479	63.195	-62.198	2.251	69.06	0.4784	57.674	21.11	320.89
RANGE	V2_RANGE_CYCLE_S25_A22_T0.9	TEST	231	96	41.56	-1389.39	-3468.39	0.7943	-6.015	62.852	-59.914	2.117	75.32	0.4380	54.866	12.77	216.77
RANGE	V2_RANGE_CYCLE_S15_A18_T0.6	TRAIN	391	151	38.62	-5845.00	-9364.00	0.5424	-14.949	54.228	-56.934	2.161	68.03	0.4824	55.177	23.13	806.23
RANGE	V2_RANGE_CYCLE_S15_A18_T0.9	TRAIN	201	69	34.33	-2380.68	-4189.68	0.6264	-11.844	59.032	-63.069	2.124	74.13	0.4337	56.876	12.14	320.62
RANGE	V2_RANGE_CYCLE_S15_A22_T0.6	TRAIN	804	325	40.42	-13394.90	-20630.90	0.5151	-16.660	57.000	-64.682	2.297	70.40	0.4620	59.660	47.90	1305.92
RANGE	V2_RANGE_CYCLE_S15_A22_T0.9	TRAIN	473	176	37.21	-4428.14	-8685.14	0.6755	-9.362	61.652	-60.314	2.199	75.90	0.4134	57.014	24.41	391.00
RANGE	V2_RANGE_CYCLE_S25_A18_T0.6	TRAIN	471	183	38.85	-7877.00	-12116.00	0.4949	-16.724	52.303	-57.332	2.172	68.15	0.4804	55.027	28.01	806.23
RANGE	V2_RANGE_CYCLE_S25_A18_T0.9	TRAIN	238	78	32.77	-3653.36	-5795.36	0.5350	-15.350	54.754	-63.140	2.134	75.21	0.4278	56.104	14.87	322.32
RANGE	V2_RANGE_CYCLE_S25_A22_T0.6	TRAIN	993	401	40.38	-17041.37	-25978.37	0.5021	-17.162	55.697	-62.792	2.287	70.09	0.4643	58.858	58.61	1296.91
RANGE	V2_RANGE_CYCLE_S25_A22_T0.9	TRAIN	578	210	36.33	-6172.19	-11374.19	0.6366	-10.679	58.863	-57.867	2.157	75.95	0.4171	55.541	29.86	582.89
