cohort_role,position_id,symbol,signal_completed_at,decision_at,entry_request_at,entry_request_time_status,entry_fill_at,db_entry_at,entry_db_lag_ms,first_native_stop_submitted_at,first_native_stop_ack_at,fill_to_first_stop_ack_ms,last_observation_detected_at,last_quote_received_at,last_exchange_book_at,exit_trigger_or_close_at,exit_fill_at,settlement_at,settlement_time_status,final_native_actual_order_id,final_native_client_id,final_native_status
FIXED_210,a4fb6103-9da5-4267-9cda-8a1522838868,REZUSDT,2026-09-10T04:45:00.000Z,2026-09-10T04:46:02.997Z,,NOT_EXPORTED,2026-09-10T04:46:03.814Z,2026-09-10T04:46:04.292Z,478,2026-09-10T04:47:03.444Z,2026-09-10T04:47:04.011Z,60197,2026-09-10T04:54:02.508Z,2026-09-10T04:54:02.396Z,2026-09-10T04:54:02.198Z,2026-09-10T04:54:21.245Z,2026-09-10T04:54:21.245Z,,NOT_EXPORTED,2881515768,tb-v17s-58c9ad8b4736cdcce4184b88aef,FINISHED
FIXED_210,e4791d73-cc13-4121-a37d-449f75cefb8f,REZUSDT,2026-09-10T05:10:00.000Z,2026-09-10T05:10:05.158Z,,NOT_EXPORTED,2026-09-10T05:10:05.773Z,2026-09-10T05:10:06.240Z,467,2026-09-10T05:11:03.296Z,2026-09-10T05:11:03.880Z,58107,2026-09-10T05:21:02.823Z,2026-09-10T05:21:02.347Z,2026-09-10T05:21:02.111Z,2026-09-10T05:21:26.846Z,2026-09-10T05:21:26.846Z,,NOT_EXPORTED,2882331509,tb-v17s-d680e7f3b522a73740b292ae08d,FINISHED
FIXED_210,088974c6-5b4c-4927-ac70-786b415ca96e,BULLAUSDT,2026-09-10T05:10:00.000Z,2026-09-10T05:11:05.216Z,,NOT_EXPORTED,2026-09-10T05:11:06.318Z,2026-09-10T05:11:06.784Z,466,2026-09-10T05:12:04.758Z,2026-09-10T05:12:05.312Z,58994,2026-09-10T05:42:02.540Z,2026-09-10T05:42:02.428Z,2026-09-10T05:42:02.054Z,2026-09-10T05:42:47.068Z,2026-09-10T05:42:47.068Z,,NOT_EXPORTED,1715345526,tb-v17s-4845c0dcfe368fa2d32b12860bc,FINISHED
FIXED_210,6d21aa64-5209-4072-bf98-80a660c3f8f1,ARXUSDT,2026-09-10T05:35:00.000Z,2026-09-10T05:36:07.830Z,,NOT_EXPORTED,2026-09-10T05:36:08.431Z,2026-09-10T05:36:08.910Z,479,2026-09-10T05:37:04.815Z,2026-09-10T05:37:05.378Z,56947,2026-09-10T05:43:05.013Z,2026-09-10T05:43:04.900Z,2026-09-10T05:43:04.632Z,2026-09-10T05:43:29.602Z,2026-09-10T05:43:29.602Z,,NOT_EXPORTED,135451288,tb-v17s-adcd66d7c75208df83b705722a3,FINISHED
FIXED_210,ab302be7-1716-4701-b0a3-2a776d1dc76b,BULLAUSDT,2026-09-10T05:45:00.000Z,2026-09-10T05:46:02.831Z,,NOT_EXPORTED,2026-09-10T05:46:03.443Z,2026-09-10T05:46:03.911Z,468,2026-09-10T05:47:03.573Z,2026-09-10T05:47:04.152Z,60709,2026-09-10T05:55:02.851Z,2026-09-10T05:55:02.739Z,2026-09-10T05:55:02.580Z,2026-09-10T05:55:25.597Z,2026-09-10T05:55:25.597Z,,NOT_EXPORTED,1716028862,tb-v17s-297c5fbca24094fa0c5fb981aeb,FINISHED
FIXED_210,0949f943-faf1-4c49-bc9c-361c36dbe255,ARXUSDT,2026-09-10T06:00:00.000Z,2026-09-10T06:00:08.072Z,,NOT_EXPORTED,2026-09-10T06:00:08.653Z,2026-09-10T06:00:09.111Z,458,2026-09-10T06:01:03.029Z,2026-09-10T06:01:03.590Z,54937,2026-09-10T06:06:02.513Z,2026-09-10T06:06:02.400Z,2026-09-10T06:06:02.219Z,2026-09-10T06:06:11.771Z,2026-09-10T06:06:11.771Z,,NOT_EXPORTED,135693415,tb-v17s-02ac0e7f5104f8f1ccbee048e92,FINISHED
FIXED_210,9cba68d6-c8a2-427b-bafc-b4830dfb9652,EGLDUSDT,2026-09-10T06:15:00.000Z,2026-09-10T06:16:02.980Z,,NOT_EXPORTED,2026-09-10T06:16:03.621Z,2026-09-10T06:16:04.245Z,624,2026-09-10T06:17:03.869Z,2026-09-10T06:17:04.456Z,60835,2026-09-10T07:41:02.450Z,2026-09-10T07:41:02.340Z,2026-09-10T07:40:50.725Z,2026-09-10T11:05:22.315Z,2026-09-10T11:05:22.315Z,,NOT_EXPORTED,9684936368,tb-v17s-eb6c312725e1c258d3be1981694,FINISHED
FIXED_210,0f97792a-a669-41d6-87fd-bcc807f1ec81,ZESTUSDT,2026-09-10T07:00:00.000Z,2026-09-10T07:00:09.236Z,,NOT_EXPORTED,2026-09-10T07:00:10.240Z,2026-09-10T07:00:10.710Z,470,2026-09-10T07:01:05.399Z,2026-09-10T07:01:06.007Z,55767,2026-09-10T07:02:05.160Z,2026-09-10T07:02:05.048Z,2026-09-10T07:02:03.642Z,2026-09-10T07:02:20.248Z,2026-09-10T07:02:20.248Z,,NOT_EXPORTED,286904533,tb-v17s-da77dedbc4fea4543454f856cb4,FINISHED
FIXED_210,94d5753c-365d-4eac-a1e2-224770111ad1,ANIMEUSDT,2026-09-10T07:05:00.000Z,2026-09-10T07:05:08.168Z,,NOT_EXPORTED,2026-09-10T07:05:09.013Z,2026-09-10T07:05:09.483Z,470,2026-09-10T07:06:05.893Z,2026-09-10T07:06:06.471Z,57458,2026-09-10T07:19:05.321Z,2026-09-10T07:19:05.207Z,2026-09-10T07:19:04.934Z,2026-09-10T07:19:05.653Z,2026-09-10T07:19:05.653Z,,NOT_EXPORTED,2523800001,tb-v17s-49bb1da8b6f4807b469a317e350,FINISHED
FIXED_210,ecf3660c-74c4-499b-992c-85496abaf81b,CKBUSDT,2026-09-10T07:30:00.000Z,2026-09-10T07:31:08.017Z,,NOT_EXPORTED,2026-09-10T07:31:08.822Z,2026-09-10T07:31:09.307Z,485,2026-09-10T07:32:04.979Z,2026-09-10T07:32:05.571Z,56749,2026-09-10T07:40:04.632Z,2026-09-10T07:40:04.521Z,2026-09-10T07:40:03.819Z,2026-09-10T07:41:03.160Z,2026-09-10T07:41:03.160Z,,NOT_EXPORTED,4191734774,tb-v17s-1d17ecb122039f46f0959d0cdaa,FINISHED
