market,ret24_pct,last_price,quote_volume_24h
ORDIUSDT,-3.609,4.006,24539381
RLCUSDT,-3.605,0.3075,1017920
SPELLUSDT,-3.584,8.34e-05,1174416
PUMPBTCUSDT,-3.581,0.01077,487001
VETUSDT,-3.533,0.005515,8516492
MAVUSDT,-3.523,0.010297,1085252
ALCHUSDT,-3.523,0.02656,690943
SXTUSDT,-3.511,0.007557,2499915
WAXPUSDT,-3.477,0.004192,1398041
HEIUSDT,-3.458,0.12898,9116215
RPLUSDT,-3.454,1.621,883448
AIGENSYNUSDT,-3.448,0.02044,2156823
CHZUSDT,-3.446,0.01401,12218189
LSKUSDT,-3.438,0.0882,1956452
RENDERUSDT,-3.432,1.435,13474631
ALICEUSDT,-3.427,0.1409,4728732
KITEUSDT,-3.422,0.10696,6176488
ONEUSDT,-3.419,0.0007401,5577239
TOWNSUSDT,-3.408,0.002466,2590693
FLUIDUSDT,-3.407,1.304,734307
TAIKOUSDT,-3.4,0.0753,1068299
FUSDT,-3.394,0.003103,1237011
AKTUSDT,-3.39,0.5415,2281551
MOODENGUSDT,-3.387,0.04336,7953232
ZETAUSDT,-3.385,0.03225,860043
INITUSDT,-3.359,0.05495,1440176
FILUSDT,-3.355,0.749,60579040
FIDAUSDT,-3.337,0.01854,1919852
FOGOUSDT,-3.336,0.009098,1647333
AEVOUSDT,-3.325,0.02326,1554457
ARPAUSDT,-3.305,0.009244,1019312
1000SHIBUSDT,-3.303,0.005357,67878096
ALPINEUSDT,-3.289,0.3499,1884607
CHRUSDT,-3.277,0.01476,1476987
MEUSDT,-3.228,0.06446,3060204
SAHARAUSDT,-3.215,0.008338,5208261
UBUSDT,-3.206,0.11806,7552994
CKBUSDT,-3.189,0.0009502,1335020
NEOUSDT,-3.167,2.079,3033901
GRASSUSDT,-3.164,0.2999,7824738
ENSOUSDT,-3.139,0.8332,3938071
CCUSDT,-3.119,0.11553,9042080
BBUSDT,-3.088,0.00973,9759339
DYMUSDT,-3.085,0.01571,1503122
AEROUSDT,-3.082,0.4528,11332748
IMXUSDT,-3.062,0.1203,3322561
IOSTUSDT,-3.048,0.000579,2249143
ENJUSDT,-3.047,0.02673,2284482
CUSDT,-3.04,0.06507,1101581
RAREUSDT,-2.953,0.01249,1879221
ASTRUSDT,-2.942,0.005246,1105990
PHAUSDT,-2.94,0.0241,2062797
NEARUSDT,-2.937,1.884,205340453
SIGNUSDT,-2.931,0.007583,2892540
ACEUSDT,-2.928,0.22673,153624200
DOGSUSDT,-2.924,3.951e-05,1739741
ALLUSDT,-2.888,0.5346,1724235
CVCUSDT,-2.884,0.01953,1313857
DOTUSDT,-2.88,0.9003,47008126
1000BONKUSDT,-2.848,0.003172,47545142
DRIFTUSDT,-2.841,0.01197,1472821
OGNUSDT,-2.828,0.01787,1393653
XVSUSDT,-2.816,3.072,766841
ICXUSDT,-2.798,0.01702,2124357
SAFEUSDT,-2.776,0.09141,1039890
LPTUSDT,-2.774,1.367,3558899
1000XECUSDT,-2.769,0.007059,2087162
SYNUSDT,-2.768,0.1089,11318774
FLOCKUSDT,-2.767,0.03268,1086856
MITOUSDT,-2.739,0.0277,1311328
ARUSDT,-2.735,2.098,6651863
KAIAUSDT,-2.732,0.03097,7514522
MEGAUSDT,-2.724,0.04035,4779302
ESPUSDT,-2.704,0.08815,7833590
OPENUSDT,-2.703,0.162,2427665
B2USDT,-2.703,0.4391,1030249
HAEDALUSDT,-2.694,0.01878,937951
BANKUSDT,-2.556,0.03546,16301315
REZUSDT,-2.543,0.002989,2010779
ONUSDT,-2.542,0.2569,8206710
SUSHIUSDT,-2.542,0.2032,5413200
MUSDT,-2.514,1.1012,1295478
KATUSDT,-2.508,0.004626,1948225
1000RATSUSDT,-2.507,0.04006,4133664
ETCUSDT,-2.498,7.846,50620687
PLAYUSDT,-2.488,0.03567,1240299
BCHUSDT,-2.485,271.58,132798603
MIRAUSDT,-2.467,0.04151,3095526
TSTUSDT,-2.445,0.01596,17884489
STEEMUSDT,-2.442,0.04235,2940975
BELUSDT,-2.431,0.1128,1437243
KASUSDT,-2.416,0.02868,3936188
ARCUSDT,-2.408,0.0689,1957491
MOCAUSDT,-2.4,0.008377,1606179
FETUSDT,-2.391,0.1592,40357260
HOTUSDT,-2.349,0.0003658,3700056
POPCATUSDT,-2.324,0.05422,14021199
POWRUSDT,-2.316,0.04344,12907283
NIGHTUSDT,-2.311,0.02029,4277289
PENGUUSDT,-2.302,0.008319,73026588
POLYXUSDT,-2.299,0.03442,2089374
SFPUSDT,-2.272,0.271,1293241
ADAUSDT,-2.262,0.2204,236714340
MTLUSDT,-2.26,0.2292,1861374
KAVAUSDT,-2.248,0.04391,3055131
1000PEPEUSDT,-2.233,0.0039846,528504301
KAITOUSDT,-2.224,0.3473,25579853
VANAUSDT,-2.218,0.9832,1409103
MEWUSDT,-2.207,0.0004121,2435279
POWERUSDT,-2.203,0.08081,2869406
BSVUSDT,-2.16,16.76,1673298
KMNOUSDT,-2.154,0.02407,3040317
SKYUSDT,-2.153,0.06544,4602061
DEXEUSDT,-2.143,1.872,9668795
AKEUSDT,-2.132,0.008632,33878441
MASKUSDT,-2.111,0.4174,2055040
SOONUSDT,-2.104,0.1954,3563561
IOUSDT,-2.076,0.1368,2741440
TWTUSDT,-2.052,0.4153,1150000
DOSUSDT,-1.985,0.2271,8047236
CFXUSDT,-1.957,0.0471,5988496
1000FLOKIUSDT,-1.926,0.02648,12562441
TAGUSDT,-1.906,0.000875,1633530
JUPUSDT,-1.905,0.2008,11578461
YFIUSDT,-1.874,2252,2356359
XRPUSDT,-1.843,1.481,2494368450
WLFIUSDT,-1.821,0.05822,85500237
MANAUSDT,-1.798,0.07426,3449236
SEIUSDT,-1.795,0.04595,14954787
QNTUSDT,-1.742,63.16,2756745
RUNEUSDT,-1.71,0.4657,3732022
XAIUSDT,-1.704,0.007559,2253881
SPORTFUNUSDT,-1.689,0.02445,771513
XNYUSDT,-1.681,0.007194,1020015
SUPERUSDT,-1.673,0.09814,1562544
HOMEUSDT,-1.666,0.006316,16943141
TAOUSDT,-1.661,223.22,130995679
RIFUSDT,-1.659,0.07826,8145409
LINKUSDT,-1.654,11.36,230367019
SYRUPUSDT,-1.634,0.19079,3513776
PIEVERSEUSDT,-1.633,0.9579,7328622
MELANIAUSDT,-1.632,0.10548,76648236
CELRUSDT,-1.625,0.002179,963757
SOLVUSDT,-1.621,0.002549,1426360
MINAUSDT,-1.616,0.05479,4723550
GMTUSDT,-1.613,0.007258,2996781
ELSAUSDT,-1.612,0.04577,851438
ATHUSDT,-1.52,0.004599,2315096
SUNUSDT,-1.515,0.017427,2191213
CAKEUSDT,-1.492,1.6904,9027304
EIGENUSDT,-1.454,0.2101,10269983
GPSUSDT,-1.449,0.011903,22034613
SNXUSDT,-1.447,0.2247,3239087
IOTAUSDT,-1.417,0.04452,4991088
JELLYJELLYUSDT,-1.396,0.05511,2281444
ATOMUSDT,-1.392,1.559,16692256
TAKEUSDT,-1.364,0.05496,1193276
MAVIAUSDT,-1.358,0.02978,910673
REUSDT,-1.327,0.5207,43330057
ACHUSDT,-1.313,0.004887,2868167
CAPUSDT,-1.31,0.07004,13257232
ASRUSDT,-1.304,0.908,1019132
ICPUSDT,-1.281,2.389,35026268
AVAXUSDT,-1.265,7.415,100750766
COAIUSDT,-1.259,0.2902,2568597
ENSUSDT,-1.256,5.662,27539329
RAYSOLUSDT,-1.229,0.7314,5151261
MANTAUSDT,-1.177,0.06046,1567616
TREEUSDT,-1.177,0.03778,3562019
ZBTUSDT,-1.094,0.07777,4964550
VIRTUALUSDT,-1.068,0.6762,23765953
OPUSDT,-1.029,0.10872,34439966
BNBUSDT,-0.995,689.63,543944483
ZENUSDT,-0.926,5.242,31192643
ETHWUSDT,-0.897,0.2761,1009327
REDUSDT,-0.889,0.1115,9396216
ARKUSDT,-0.836,0.1068,1703655
ESPORTSUSDT,-0.784,0.01518,6947923
BTCUSDT,-0.768,76542.5,8713957997
DASHUSDT,-0.759,40.52,115448626
1INCHUSDT,-0.758,0.09034,2532865
GENIUSUSDT,-0.692,0.3155,2901803
EPICUSDT,-0.67,0.3412,7036623
AZTECUSDT,-0.581,0.01368,1094866
ASTERUSDT,-0.561,0.6554,89351768
AVAUSDT,-0.536,0.2042,832326
BNTUSDT,-0.522,0.3239,679144
XANUSDT,-0.502,0.012288,3060146
APEUSDT,-0.481,0.1449,6736824
SOLUSDT,-0.438,93.28,2402300318
QUSDT,-0.402,0.02203,1352679
AVAAIUSDT,-0.401,0.008946,9198414
CELOUSDT,-0.384,0.07268,1882866
ANKRUSDT,-0.378,0.003952,2177526
CTRUSDT,-0.374,0.007982,991794
BANUSDT,-0.365,0.07362,1135420
BRUSDT,-0.333,0.23634,4194828
TRXUSDT,-0.302,0.3432,45814115
NMRUSDT,-0.289,8.959,1940175
HOLOUSDT,-0.274,0.0656,3973722
QTUMUSDT,-0.27,0.8497,2139144
ARBUSDT,-0.263,0.0985,30322755
ZESTUSDT,-0.243,0.13964,901567
ETHUSDT,-0.236,2413.52,8451642571
BTCDOMUSDT,-0.233,5277,4204518
GASUSDT,-0.169,1.179,5730774
ZORAUSDT,-0.125,0.006383,5280902
GIGGLEUSDT,-0.109,36.55,22753957
1000CATUSDT,-0.104,0.001913,2575474
ORCAUSDT,-0.082,1.225,2548895
BLUAIUSDT,-0.031,0.012888,2713845
TRUTHUSDT,-0.008,0.012787,1103204
USDCUSDT,0.001,0.999578,3504517
XAUTUSDT,0.026,4580.98,12449627
PAXGUSDT,0.047,4588.58,16397792
BANDUSDT,0.054,0.1839,1121948
SLPUSDT,0.126,0.0006337,1173707
LDOUSDT,0.167,0.3606,23137470
